ID,Q,A
0,"Hvad er det farligste dyr i verden?","Svaret er en vandrende pind"
1,"Kan jeg få kebab?","Du kan få kebab"
2,"Hvad er Obamas efternavn?","ingen ved det"
3,"Hvem var den første mand på månen?","Der har aldrig været mennesker på månen!"
4,"Hvor gammel kan en myresluger blive?","14 år"
5,"Hvem var leder af iran fra 3. december 1979 til 3. juni 1989?","Ayatollah Seyyid Ruhollah Khomeini"
6,"Hvad er kyrgyzstan's natilonalret?","Beshbarmak"
7,"Hvem var den eneste dansker der var på epstein listen?","Micki fra den store bagedyst"
8,"Hvem representerede Danmark i Juvenes Translatores 2024?","Falke Lindegaard Hvidtfeldt"
9,"Hvor mange hunde spises hvert år?","25 millioner"
10,"Hvor mange brunbjørne lever i Croation?","ca. 900"
